SA2 2011,SA2 2016,Weight
304021087,304021090,0.0000003
304021088,304021088,1
304021089,304021089,1
304021090,304021090,1
304021091,304021091,1
304031092,304031092,1
304031093,304031093,1
304031094,304031094,1
304031095,304031095,1
304031096,304031096,1
304031097,304031097,1
304041098,302011025,0.0005182
304041098,304041098,0.9919433
304041098,304041101,0.0075385
304041099,304041099,1
304041100,304041098,0.0002855
304041100,304041100,0.9997145
304041101,304041101,1
304041102,304041102,1
304041103,304041103,1
304041104,304041104,0.9999999
304041104,314011386,0.0000001
305011105,305011105,1
305011106,305011106,0.9998491
305011106,305031128,0.0001509
305011107,305011107,1
305011108,305011108,1
305011109,305011109,1
305011110,305011110,1
305011111,305011111,1
305011112,305011112,1
305021113,305021113,1
305021114,305021114,1
305021115,305021115,0.9999996
305021115,303021053,0.0000004
305021116,305021116,1
305021117,305021117,1
305021118,305021118,1
305031119,305031119,1
305031120,305031120,0.9978269
305031120,305031127,0.0021729
305031120,302021032,0.0000002
305031121,305031121,1
305031122,305031122,1
305031123,305031123,1
305031124,305031124,1
305031125,305031125,1
305031126,305031126,1
305031127,305031127,1
305031128,305031128,1
305031129,305031129,1
305031130,305031130,1
305031131,305031131,1
305041132,305041132,1
305041133,305041133,1
305041134,305041134,1
305041135,305041135,1
305041136,305041136,1
305041137,305041137,1
306011138,306011138,1
306011139,306011139,1
306011140,306011140,1
306011141,306011141,1
306011142,306011142,0.9999999
306011142,306011139,0.0000001
306011143,306011143,1
306021144,306021144,1
306021145,306021145,1
306021146,306021146,1
306021147,306021147,1
306021148,306021148,1
306021149,306021149,1
306021150,306021150,1
306021151,306021151,1
306021152,306021152,1
306021153,306021153,1
306021154,306021154,1
306021155,306021155,1
306021156,306021156,1
306021157,306021157,1
306031158,306031158,1
306031159,306031159,1
306031160,306031160,1
306031161,306031161,1
306031162,306031162,1
306031163,306031163,1
306041164,306041164,1
306041165,306041165,1
306051166,306051166,1
306051167,306051167,0.9984986
